2025-04-03 15:00:31,318 - INFO -   train_X has : 9 features
2025-04-03 15:00:31,318 - INFO -   The dataset is a : 2 classification problem
2025-04-03 15:00:31,318 - INFO - Running just ONE TREE
2025-04-03 15:00:31,320 - INFO - Running in torch mode with dataset: breast_cancer
2025-04-03 15:00:31,320 - INFO - Batch size: 16
2025-04-03 15:00:31,320 - INFO - Number of trees: 1, Max depth: 8
2025-04-03 15:00:31,320 - INFO - Combine output: False, Subset selection: True
2025-04-03 15:00:31,459 - INFO - Created Soft Tree Model
2025-04-03 15:00:31,459 - INFO - Running on a: cpu
2025-04-03 15:00:35,734 - INFO - Epoch [1/100], Training Loss: 0.6418 | Training Accuracy: 0.675 | Test Lost: 0.5841 | Test Accuracy 0.7093
2025-04-03 15:01:36,081 - INFO - Epoch [32/100], Training Loss: 0.4402 | Training Accuracy: 0.775 | Test Lost: 0.6401 | Test Accuracy 0.7209
2025-04-03 15:01:38,021 - INFO - Epoch [33/100], Training Loss: 0.4380 | Training Accuracy: 0.775 | Test Lost: 0.6849 | Test Accuracy 0.6395
2025-04-03 15:01:39,952 - INFO - Epoch [34/100], Training Loss: 0.4143 | Training Accuracy: 0.8 | Test Lost: 0.6922 | Test Accuracy 0.6395
2025-04-03 15:01:42,377 - INFO - Epoch [35/100], Training Loss: 0.4191 | Training Accuracy: 0.785 | Test Lost: 0.7014 | Test Accuracy 0.6395
2025-04-03 15:01:44,372 - INFO - Epoch [36/100], Training Loss: 0.4180 | Training Accuracy: 0.785 | Test Lost: 0.7104 | Test Accuracy 0.7093
2025-04-03 15:01:46,294 - INFO - Epoch [37/100], Training Loss: 0.4233 | Training Accuracy: 0.78 | Test Lost: 0.6832 | Test Accuracy 0.7209
2025-04-03 15:01:48,305 - INFO - Epoch [38/100], Training Loss: 0.4075 | Training Accuracy: 0.78 | Test Lost: 0.7252 | Test Accuracy 0.6163
2025-04-03 15:01:50,424 - INFO - Epoch [39/100], Training Loss: 0.4397 | Training Accuracy: 0.785 | Test Lost: 0.7032 | Test Accuracy 0.6512
2025-04-03 15:01:52,434 - INFO - Epoch [40/100], Training Loss: 0.4263 | Training Accuracy: 0.785 | Test Lost: 0.6973 | Test Accuracy 0.6977
2025-04-03 15:01:54,344 - INFO - Epoch [41/100], Training Loss: 0.4210 | Training Accuracy: 0.785 | Test Lost: 0.6984 | Test Accuracy 0.6395
2025-04-03 15:01:56,276 - INFO - Epoch [42/100], Training Loss: 0.4018 | Training Accuracy: 0.795 | Test Lost: 0.7460 | Test Accuracy 0.6163
2025-04-03 15:01:58,151 - INFO - Epoch [43/100], Training Loss: 0.4244 | Training Accuracy: 0.81 | Test Lost: 0.7278 | Test Accuracy 0.6860
2025-04-03 15:02:00,140 - INFO - Epoch [44/100], Training Loss: 0.4106 | Training Accuracy: 0.79 | Test Lost: 0.7411 | Test Accuracy 0.6512
2025-04-03 15:02:02,099 - INFO - Epoch [45/100], Training Loss: 0.4148 | Training Accuracy: 0.785 | Test Lost: 0.7698 | Test Accuracy 0.6860
2025-04-03 15:02:04,058 - INFO - Epoch [46/100], Training Loss: 0.4243 | Training Accuracy: 0.775 | Test Lost: 0.7449 | Test Accuracy 0.6512
2025-04-03 15:02:05,978 - INFO - Epoch [47/100], Training Loss: 0.4090 | Training Accuracy: 0.81 | Test Lost: 0.7700 | Test Accuracy 0.6977
2025-04-03 15:02:07,882 - INFO - Epoch [48/100], Training Loss: 0.3969 | Training Accuracy: 0.82 | Test Lost: 0.8080 | Test Accuracy 0.6395
2025-04-03 15:02:09,856 - INFO - Epoch [49/100], Training Loss: 0.4370 | Training Accuracy: 0.79 | Test Lost: 0.7396 | Test Accuracy 0.6279
2025-04-03 15:02:11,810 - INFO - Epoch [50/100], Training Loss: 0.4201 | Training Accuracy: 0.785 | Test Lost: 0.7797 | Test Accuracy 0.7093
2025-04-03 15:02:13,787 - INFO - Epoch [51/100], Training Loss: 0.4147 | Training Accuracy: 0.805 | Test Lost: 0.7495 | Test Accuracy 0.6860
2025-04-03 15:02:15,814 - INFO - Epoch [52/100], Training Loss: 0.3914 | Training Accuracy: 0.805 | Test Lost: 0.8752 | Test Accuracy 0.5698
2025-04-03 15:02:17,750 - INFO - Epoch [53/100], Training Loss: 0.3896 | Training Accuracy: 0.79 | Test Lost: 0.7753 | Test Accuracy 0.6744
2025-04-03 15:02:19,693 - INFO - Epoch [54/100], Training Loss: 0.3824 | Training Accuracy: 0.815 | Test Lost: 0.8426 | Test Accuracy 0.6279
2025-04-03 15:02:21,599 - INFO - Epoch [55/100], Training Loss: 0.3883 | Training Accuracy: 0.795 | Test Lost: 0.8082 | Test Accuracy 0.6163
2025-04-03 15:02:23,522 - INFO - Epoch [56/100], Training Loss: 0.4013 | Training Accuracy: 0.81 | Test Lost: 0.8367 | Test Accuracy 0.6628
2025-04-03 15:02:25,491 - INFO - Epoch [57/100], Training Loss: 0.3811 | Training Accuracy: 0.785 | Test Lost: 0.8327 | Test Accuracy 0.6512
2025-04-03 15:02:27,407 - INFO - Epoch [58/100], Training Loss: 0.3828 | Training Accuracy: 0.81 | Test Lost: 0.7959 | Test Accuracy 0.7209
2025-04-03 15:02:29,638 - INFO - Epoch [59/100], Training Loss: 0.3750 | Training Accuracy: 0.805 | Test Lost: 0.8912 | Test Accuracy 0.6163
2025-04-03 15:02:31,632 - INFO - Epoch [60/100], Training Loss: 0.3593 | Training Accuracy: 0.81 | Test Lost: 0.8075 | Test Accuracy 0.6977
2025-04-03 15:02:33,615 - INFO - Epoch [61/100], Training Loss: 0.3767 | Training Accuracy: 0.825 | Test Lost: 0.8235 | Test Accuracy 0.6628
2025-04-03 15:02:35,554 - INFO - Epoch [62/100], Training Loss: 0.3923 | Training Accuracy: 0.79 | Test Lost: 0.8018 | Test Accuracy 0.7209
2025-04-03 15:02:37,485 - INFO - Epoch [63/100], Training Loss: 0.4137 | Training Accuracy: 0.795 | Test Lost: 0.8426 | Test Accuracy 0.6163
2025-04-03 15:02:39,415 - INFO - Epoch [64/100], Training Loss: 0.4204 | Training Accuracy: 0.795 | Test Lost: 0.8079 | Test Accuracy 0.6163
2025-04-03 15:02:41,258 - INFO - Epoch [65/100], Training Loss: 0.4060 | Training Accuracy: 0.825 | Test Lost: 0.8268 | Test Accuracy 0.7209
2025-04-03 15:02:43,380 - INFO - Epoch [66/100], Training Loss: 0.4265 | Training Accuracy: 0.805 | Test Lost: 0.8301 | Test Accuracy 0.6279
2025-04-03 15:02:45,389 - INFO - Epoch [67/100], Training Loss: 0.4252 | Training Accuracy: 0.8 | Test Lost: 0.7466 | Test Accuracy 0.6512
2025-04-03 15:02:47,300 - INFO - Epoch [68/100], Training Loss: 0.4205 | Training Accuracy: 0.795 | Test Lost: 0.7660 | Test Accuracy 0.6512
2025-04-03 15:02:49,355 - INFO - Epoch [69/100], Training Loss: 0.3942 | Training Accuracy: 0.815 | Test Lost: 0.7389 | Test Accuracy 0.6744
2025-04-03 15:02:51,289 - INFO - Epoch [70/100], Training Loss: 0.4256 | Training Accuracy: 0.79 | Test Lost: 0.7998 | Test Accuracy 0.6279
2025-04-03 15:02:53,218 - INFO - Epoch [71/100], Training Loss: 0.3952 | Training Accuracy: 0.795 | Test Lost: 0.7845 | Test Accuracy 0.6512
2025-04-03 15:02:55,426 - INFO - Epoch [72/100], Training Loss: 0.3671 | Training Accuracy: 0.83 | Test Lost: 0.9523 | Test Accuracy 0.6279
2025-04-03 15:02:57,448 - INFO - Epoch [73/100], Training Loss: 0.3873 | Training Accuracy: 0.835 | Test Lost: 0.8020 | Test Accuracy 0.7326
2025-04-03 15:02:59,598 - INFO - Epoch [74/100], Training Loss: 0.3748 | Training Accuracy: 0.835 | Test Lost: 0.9241 | Test Accuracy 0.6512
2025-04-03 15:03:02,018 - INFO - Epoch [75/100], Training Loss: 0.4102 | Training Accuracy: 0.805 | Test Lost: 0.9002 | Test Accuracy 0.6744
2025-04-03 15:03:04,358 - INFO - Epoch [76/100], Training Loss: 0.4193 | Training Accuracy: 0.8 | Test Lost: 0.8964 | Test Accuracy 0.6395
2025-04-03 15:03:06,374 - INFO - Epoch [77/100], Training Loss: 0.3951 | Training Accuracy: 0.825 | Test Lost: 0.8840 | Test Accuracy 0.6860
2025-04-03 15:03:08,545 - INFO - Epoch [78/100], Training Loss: 0.3853 | Training Accuracy: 0.8 | Test Lost: 0.8880 | Test Accuracy 0.6512
2025-04-03 15:03:10,423 - INFO - Epoch [79/100], Training Loss: 0.4066 | Training Accuracy: 0.815 | Test Lost: 0.7403 | Test Accuracy 0.7326
2025-04-03 15:03:12,415 - INFO - Epoch [80/100], Training Loss: 0.4016 | Training Accuracy: 0.785 | Test Lost: 0.7711 | Test Accuracy 0.6395
2025-04-03 15:03:14,411 - INFO - Epoch [81/100], Training Loss: 0.3778 | Training Accuracy: 0.85 | Test Lost: 0.8002 | Test Accuracy 0.6860
2025-04-03 15:03:16,337 - INFO - Epoch [82/100], Training Loss: 0.3605 | Training Accuracy: 0.86 | Test Lost: 0.9059 | Test Accuracy 0.6628
2025-04-03 15:03:18,303 - INFO - Epoch [83/100], Training Loss: 0.3641 | Training Accuracy: 0.815 | Test Lost: 0.8275 | Test Accuracy 0.6744
2025-04-03 15:03:20,166 - INFO - Epoch [84/100], Training Loss: 0.3672 | Training Accuracy: 0.845 | Test Lost: 0.8473 | Test Accuracy 0.6860
2025-04-03 15:03:22,136 - INFO - Epoch [85/100], Training Loss: 0.3472 | Training Accuracy: 0.83 | Test Lost: 0.8718 | Test Accuracy 0.7209
2025-04-03 15:03:24,089 - INFO - Epoch [86/100], Training Loss: 0.3436 | Training Accuracy: 0.845 | Test Lost: 0.8774 | Test Accuracy 0.7093
2025-04-03 15:03:26,070 - INFO - Epoch [87/100], Training Loss: 0.3739 | Training Accuracy: 0.83 | Test Lost: 0.8190 | Test Accuracy 0.7093
2025-04-03 15:03:28,591 - INFO - Epoch [88/100], Training Loss: 0.3701 | Training Accuracy: 0.82 | Test Lost: 0.9382 | Test Accuracy 0.6628
2025-04-03 15:03:30,644 - INFO - Epoch [89/100], Training Loss: 0.3503 | Training Accuracy: 0.85 | Test Lost: 0.8350 | Test Accuracy 0.6977
2025-04-03 15:03:32,647 - INFO - Epoch [90/100], Training Loss: 0.3488 | Training Accuracy: 0.85 | Test Lost: 0.8991 | Test Accuracy 0.7093
2025-04-03 15:03:34,724 - INFO - Epoch [91/100], Training Loss: 0.3489 | Training Accuracy: 0.835 | Test Lost: 0.9683 | Test Accuracy 0.6860
2025-04-03 15:03:36,699 - INFO - Epoch [92/100], Training Loss: 0.3913 | Training Accuracy: 0.82 | Test Lost: 0.8150 | Test Accuracy 0.6744
2025-04-03 15:03:38,613 - INFO - Epoch [93/100], Training Loss: 0.3726 | Training Accuracy: 0.805 | Test Lost: 0.9722 | Test Accuracy 0.6744
2025-04-03 15:03:40,517 - INFO - Epoch [94/100], Training Loss: 0.3502 | Training Accuracy: 0.855 | Test Lost: 0.9435 | Test Accuracy 0.6628
2025-04-03 15:03:42,399 - INFO - Epoch [95/100], Training Loss: 0.3851 | Training Accuracy: 0.83 | Test Lost: 0.7274 | Test Accuracy 0.7442
2025-04-03 15:03:44,375 - INFO - Epoch [96/100], Training Loss: 0.4079 | Training Accuracy: 0.805 | Test Lost: 0.7025 | Test Accuracy 0.6744
2025-04-03 15:03:46,297 - INFO - Epoch [97/100], Training Loss: 0.3708 | Training Accuracy: 0.805 | Test Lost: 0.7884 | Test Accuracy 0.6860
2025-04-03 15:03:48,219 - INFO - Epoch [98/100], Training Loss: 0.3435 | Training Accuracy: 0.835 | Test Lost: 0.9321 | Test Accuracy 0.6860
2025-04-03 15:03:50,195 - INFO - Epoch [99/100], Training Loss: 0.3645 | Training Accuracy: 0.805 | Test Lost: 0.9502 | Test Accuracy 0.6628
2025-04-03 15:03:52,283 - INFO - Epoch [100/100], Training Loss: 0.3394 | Training Accuracy: 0.835 | Test Lost: 0.9031 | Test Accuracy 0.6860
2025-04-03 15:03:52,287 - INFO - The single tree took 3.3471214095751445 to run.
